maintenance_id,vehicle_id,maintenance_date,maintenance_type,cost,downtime_days,make,model,category_id,category_name
340,31,2025-12-31,Repair,10352.97,5,Skoda,Slavia,2,Sedan
341,15,2025-06-02,Repair,14926.41,4,Honda,City,2,Sedan
342,58,2024-11-01,Repair,7812.99,5,Honda,City,2,Sedan
343,134,2025-05-18,Routine Service,2988.12,2,Maruti Suzuki,Ertiga,5,Van
344,136,2024-11-11,Routine Service,3799.56,2,Audi,A6,4,Luxury
345,56,2024-11-05,Accident Repair,16626.97,9,Kia,Seltos,3,SUV
346,148,2024-09-21,Battery/Electric,6024.08,1,Skoda,Slavia,2,Sedan
347,89,2025-01-29,Routine Service,1927.3,1,Hyundai,Verna,2,Sedan
348,168,2024-02-25,Repair,4046.71,5,Hyundai,Verna,2,Sedan
349,61,2026-03-04,Tire Change,6123.0,1,Toyota,Innova Crysta,5,Van
350,87,2024-07-05,Repair,7913.12,5,Skoda,Slavia,2,Sedan
351,7,2024-01-25,Routine Service,3611.87,1,Mahindra,XUV700,3,SUV
352,91,2026-03-14,Tire Change,7735.99,1,Toyota,Fortuner,3,SUV
353,157,2025-03-28,Accident Repair,35858.84,6,Mahindra,XUV700,3,SUV
354,4,2025-09-22,Repair,13003.03,2,Hyundai,i10,1,Hatchback
355,29,2024-11-02,Battery/Electric,6609.84,2,Tata,Tiago,1,Hatchback
356,8,2025-12-03,Tire Change,5675.83,1,Tata,Tiago,1,Hatchback
357,85,2024-11-17,Routine Service,3050.66,2,Kia,Seltos,3,SUV
358,16,2024-04-23,Routine Service,2555.57,2,Tata,Tiago,1,Hatchback
359,121,2025-09-06,Routine Service,3114.7,1,Honda,City,2,Sedan
360,144,2026-04-21,Tire Change,5335.33,1,Mercedes-Benz,E-Class,4,Luxury
361,88,2024-02-22,Routine Service,2037.47,2,Hyundai,Creta,3,SUV
362,143,2026-06-12,Battery/Electric,12741.92,2,Honda,City,2,Sedan
363,64,2025-03-17,Routine Service,3845.7,1,Tata,Nexon EV,6,Electric
364,91,2026-05-05,Battery/Electric,5150.75,3,Toyota,Fortuner,3,SUV
365,20,2025-01-19,Routine Service,2222.32,2,Tata,Tiago,1,Hatchback
366,113,2026-03-26,Tire Change,5627.29,1,Honda,City,2,Sedan
367,180,2024-06-15,Battery/Electric,7198.21,1,Tata,Nexon EV,6,Electric
368,37,2025-06-21,Tire Change,4284.2,1,Hyundai,Creta,3,SUV
369,148,2024-03-25,Routine Service,1763.64,2,Skoda,Slavia,2,Sedan
370,101,2025-06-10,Battery/Electric,10878.08,1,Tata,Tiago,1,Hatchback
371,149,2025-05-30,Tire Change,3830.82,1,Hyundai,Creta,3,SUV
372,46,2025-03-25,Routine Service,3818.96,1,Tata,Tiago,1,Hatchback
373,68,2024-03-17,Tire Change,2987.53,1,Hyundai,Verna,2,Sedan
374,36,2024-12-29,Repair,7387.17,4,BMW,5 Series,4,Luxury
375,130,2025-08-07,Tire Change,7529.13,1,Skoda,Slavia,2,Sedan
376,145,2024-04-17,Routine Service,3152.04,2,Toyota,Fortuner,3,SUV
377,78,2026-03-17,Routine Service,3375.63,2,Hyundai,Kona Electric,6,Electric
378,160,2025-07-03,Repair,5313.58,5,Maruti Suzuki,Swift,1,Hatchback
379,28,2025-12-20,Tire Change,4083.76,1,Hyundai,i10,1,Hatchback
380,174,2026-02-24,Tire Change,6218.24,1,Maruti Suzuki,Swift,1,Hatchback
381,155,2025-04-23,Routine Service,3520.67,1,Hyundai,Verna,2,Sedan
382,125,2025-10-20,Tire Change,5384.48,1,BMW,5 Series,4,Luxury
383,43,2025-09-03,Repair,14430.36,5,Skoda,Slavia,2,Sedan
384,54,2024-11-03,Repair,13952.64,5,Hyundai,Kona Electric,6,Electric
385,97,2025-12-01,Repair,5737.06,2,Hyundai,Verna,2,Sedan
386,108,2024-05-10,Routine Service,3096.98,1,Hyundai,Kona Electric,6,Electric
387,170,2024-07-19,Routine Service,1775.58,2,Maruti Suzuki,Swift,1,Hatchback
388,110,2025-03-02,Repair,14630.71,2,Hyundai,Creta,3,SUV
389,21,2025-09-06,Routine Service,1981.55,2,Hyundai,i10,1,Hatchback
390,106,2026-03-18,Tire Change,6507.88,1,Skoda,Slavia,2,Sedan
391,166,2024-03-08,Accident Repair,42692.88,8,Honda,City,2,Sedan
392,105,2026-03-04,Tire Change,7743.76,1,Honda,City,2,Sedan
393,79,2024-10-10,Battery/Electric,12969.05,2,Hyundai,Verna,2,Sedan
394,10,2024-03-08,Battery/Electric,13570.85,1,Mahindra,XUV700,3,SUV
395,84,2025-06-02,Routine Service,3873.66,1,Hyundai,Verna,2,Sedan
396,1,2025-02-27,Repair,14831.64,2,Hyundai,Creta,3,SUV
397,107,2025-12-27,Repair,7137.39,5,Toyota,Fortuner,3,SUV
398,146,2024-02-26,Routine Service,3078.44,2,Mahindra,XUV700,3,SUV
399,1,2025-12-07,Routine Service,1839.9,2,Hyundai,Creta,3,SUV
400,17,2024-07-30,Routine Service,1653.13,1,Tata,Tiago,1,Hatchback
401,20,2024-02-28,Routine Service,1570.76,1,Tata,Tiago,1,Hatchback
402,32,2026-05-17,Routine Service,3515.23,2,Tata,Nexon EV,6,Electric
403,16,2026-03-15,Routine Service,1821.86,2,Tata,Tiago,1,Hatchback
404,92,2025-01-15,Routine Service,2293.17,1,Toyota,Fortuner,3,SUV
405,21,2025-03-09,Repair,10557.83,4,Hyundai,i10,1,Hatchback
406,36,2025-03-10,Battery/Electric,16823.68,2,BMW,5 Series,4,Luxury
407,158,2026-03-16,Repair,14850.27,2,Hyundai,Verna,2,Sedan
408,63,2025-05-22,Repair,8664.38,2,Skoda,Slavia,2,Sedan
409,61,2024-11-08,Routine Service,2095.96,2,Toyota,Innova Crysta,5,Van
410,57,2024-01-13,Battery/Electric,7712.86,1,Maruti Suzuki,Swift,1,Hatchback
411,176,2026-05-08,Accident Repair,21844.77,7,Hyundai,i10,1,Hatchback
412,146,2026-02-26,Repair,6984.58,4,Mahindra,XUV700,3,SUV
413,42,2025-10-03,Repair,12760.62,5,BMW,5 Series,4,Luxury
414,22,2024-11-25,Repair,10238.33,5,Maruti Suzuki,Ertiga,5,Van
415,24,2024-05-30,Routine Service,2223.21,2,Maruti Suzuki,Swift,1,Hatchback
416,88,2024-04-19,Accident Repair,52627.61,11,Hyundai,Creta,3,SUV
417,150,2025-04-27,Repair,8775.45,5,Maruti Suzuki,Ertiga,5,Van
418,162,2024-06-07,Tire Change,3065.21,1,Hyundai,i10,1,Hatchback
419,86,2025-10-01,Accident Repair,55202.77,11,Mahindra,XUV700,3,SUV
420,24,2024-11-17,Repair,5648.8,5,Maruti Suzuki,Swift,1,Hatchback
421,141,2024-08-22,Tire Change,7076.58,1,Tata,Tiago,1,Hatchback
422,37,2026-06-28,Routine Service,2450.13,2,Hyundai,Creta,3,SUV
423,103,2025-08-13,Routine Service,1594.5,1,Tata,Tiago,1,Hatchback
424,137,2024-01-07,Tire Change,4175.06,1,Mahindra,XUV700,3,SUV
425,113,2024-02-23,Routine Service,1701.16,2,Honda,City,2,Sedan
426,101,2025-09-09,Routine Service,2512.19,2,Tata,Tiago,1,Hatchback
427,46,2026-04-10,Routine Service,1929.37,2,Tata,Tiago,1,Hatchback
428,63,2024-02-07,Routine Service,3796.24,1,Skoda,Slavia,2,Sedan
429,84,2026-04-03,Tire Change,3577.54,1,Hyundai,Verna,2,Sedan
430,23,2024-02-04,Tire Change,4232.31,1,Skoda,Slavia,2,Sedan
431,120,2024-04-21,Battery/Electric,9196.34,1,Toyota,Fortuner,3,SUV
432,131,2024-11-04,Repair,8973.31,2,Hyundai,i10,1,Hatchback
433,125,2025-07-05,Tire Change,4183.99,1,BMW,5 Series,4,Luxury
434,92,2024-12-17,Routine Service,1847.18,2,Toyota,Fortuner,3,SUV
435,117,2025-11-13,Routine Service,1718.4,2,Maruti Suzuki,Swift,1,Hatchback
436,167,2025-08-27,Routine Service,2868.6,2,Honda,City,2,Sedan
437,9,2025-01-12,Routine Service,2310.27,2,BMW,5 Series,4,Luxury
438,36,2026-06-17,Repair,10044.64,5,BMW,5 Series,4,Luxury
439,128,2024-11-29,Routine Service,3430.71,1,Hyundai,Creta,3,SUV
440,89,2024-09-07,Repair,6096.17,3,Hyundai,Verna,2,Sedan
441,68,2024-04-05,Repair,14762.26,3,Hyundai,Verna,2,Sedan
442,128,2025-10-12,Tire Change,6790.61,1,Hyundai,Creta,3,SUV
443,131,2024-02-04,Repair,14564.68,2,Hyundai,i10,1,Hatchback
444,55,2025-06-25,Tire Change,5648.71,1,Kia,Seltos,3,SUV
445,86,2026-06-17,Battery/Electric,19512.23,2,Mahindra,XUV700,3,SUV
446,19,2024-02-19,Repair,8832.76,5,Skoda,Slavia,2,Sedan
447,165,2026-01-23,Repair,5669.11,4,Toyota,Innova Crysta,5,Van
448,178,2024-04-02,Routine Service,1841.93,1,Honda,City,2,Sedan
449,85,2026-02-27,Routine Service,3425.25,2,Kia,Seltos,3,SUV
450,97,2026-06-24,Repair,10243.71,3,Hyundai,Verna,2,Sedan
