vehicle_id,make,model,category_id,manufacture_year,fuel_type,transmission,seating_capacity,daily_rate,odometer_km,purchase_date,home_location_id,status,category_name,location_id,location_name,city,state,region
169,Maruti Suzuki,Swift,1,2024,Petrol,Automatic,5,1550.0,60476,2024-10-17,2,Rented,Hatchback,2,Udaipur City Branch,Udaipur,Rajasthan,North
170,Maruti Suzuki,Swift,1,2025,Petrol,Manual,5,1450.0,13232,2025-10-15,2,Rented,Hatchback,2,Udaipur City Branch,Udaipur,Rajasthan,North
171,Skoda,Slavia,2,2020,Petrol,Manual,5,2200.0,43177,2020-12-05,7,Available,Sedan,7,Chennai Central Branch,Chennai,Tamil Nadu,South
172,Skoda,Slavia,2,2019,Petrol,Manual,5,2350.0,13870,2019-09-12,9,Available,Sedan,9,Ahmedabad Branch,Ahmedabad,Gujarat,West
173,Audi,A6,4,2022,Petrol,Automatic,5,7050.0,55709,2022-01-21,6,Available,Luxury,6,Bengaluru Whitefield Branch,Bengaluru,Karnataka,South
174,Maruti Suzuki,Swift,1,2024,Petrol,Manual,5,1650.0,81271,2024-02-25,6,Available,Hatchback,6,Bengaluru Whitefield Branch,Bengaluru,Karnataka,South
175,Hyundai,Verna,2,2025,Petrol,Automatic,5,1950.0,67722,2025-11-15,3,Rented,Sedan,3,Delhi Airport Branch,New Delhi,Delhi,North
176,Hyundai,i10,1,2025,Petrol,Manual,5,1300.0,46365,2025-04-02,5,Available,Hatchback,5,Pune Station Branch,Pune,Maharashtra,West
177,Hyundai,Kona Electric,6,2024,Electric,Manual,5,2850.0,51789,2024-04-10,1,Under Maintenance,Electric,1,Jaipur Central Hub,Jaipur,Rajasthan,North
178,Honda,City,2,2022,Petrol,Automatic,5,2150.0,55678,2022-12-15,6,Retired,Sedan,6,Bengaluru Whitefield Branch,Bengaluru,Karnataka,South
179,Hyundai,Verna,2,2021,Petrol,Manual,5,2450.0,60640,2021-02-24,2,Available,Sedan,2,Udaipur City Branch,Udaipur,Rajasthan,North
180,Tata,Nexon EV,6,2019,Electric,Manual,5,3200.0,43750,2019-06-22,5,Available,Electric,5,Pune Station Branch,Pune,Maharashtra,West
